subject,PCR,uniqueseq,value,freq
10,F3F_S1R,F3F_S1R.1,0,0
12,F3F_S1R,F3F_S1R.1,4849,49.9896907216495
13,F3F_S1R,F3F_S1R.1,123,1.15060804490178
15,F3F_S1R,F3F_S1R.1,0,0
16,F3F_S1R,F3F_S1R.1,11055,100
17,F3F_S1R,F3F_S1R.1,1415,48.7762840399862
18,F3F_S1R,F3F_S1R.1,0,0
19,F3F_S1R,F3F_S1R.1,13266,100
2,F3F_S1R,F3F_S1R.1,0,0
20,F3F_S1R,F3F_S1R.1,0,0
21,F3F_S1R,F3F_S1R.1,1809,49.4397376332331
23,F3F_S1R,F3F_S1R.1,0,0
24,F3F_S1R,F3F_S1R.1,101,4.25084175084175
25,F3F_S1R,F3F_S1R.1,1141,52.0291837665299
26,F3F_S1R,F3F_S1R.1,11375,100
27,F3F_S1R,F3F_S1R.1,0,0
28,F3F_S1R,F3F_S1R.1,7479,50.8360522022839
29,F3F_S1R,F3F_S1R.1,2587,50.5767350928641
30,F3F_S1R,F3F_S1R.1,2891,51.2406947890819
31,F3F_S1R,F3F_S1R.1,0,0
32,F3F_S1R,F3F_S1R.1,266,6.12338858195212
34,F3F_S1R,F3F_S1R.1,38,0.286857401675851
36,F3F_S1R,F3F_S1R.1,2149,50.9845788849348
37,F3F_S1R,F3F_S1R.1,4433,47.8209277238404
38,F3F_S1R,F3F_S1R.1,174,53.5384615384615
39,F3F_S1R,F3F_S1R.1,2519,49.0937439095693
4,F3F_S1R,F3F_S1R.1,179,0.944092827004219
40,F3F_S1R,F3F_S1R.1,0,0
42,F3F_S1R,F3F_S1R.1,1951,47.5853658536585
44,F3F_S1R,F3F_S1R.1,3319,49.9548464780253
45,F3F_S1R,F3F_S1R.1,3688,46.6599190283401
46,F3F_S1R,F3F_S1R.1,0,0
47,F3F_S1R,F3F_S1R.1,99,2.67784690289424
48,F3F_S1R,F3F_S1R.1,0,0
49,F3F_S1R,F3F_S1R.1,0,0
5,F3F_S1R,F3F_S1R.1,0,0
50,F3F_S1R,F3F_S1R.1,127,3.46426623022368
51,F3F_S1R,F3F_S1R.1,0,0
52,F3F_S1R,F3F_S1R.1,5556,51.1743575573363
53,F3F_S1R,F3F_S1R.1,8300,50.3701905571065
54,F3F_S1R,F3F_S1R.1,2098,48.5535755612127
55,F3F_S1R,F3F_S1R.1,2175,49.1747682568393
56,F3F_S1R,F3F_S1R.1,2786,49.8568360773085
57,F3F_S1R,F3F_S1R.1,4585,51.3552867383513
58,F3F_S1R,F3F_S1R.1,0,0
59,F3F_S1R,F3F_S1R.1,0,0
6,F3F_S1R,F3F_S1R.1,2120,49.5211399205793
60,F3F_S1R,F3F_S1R.1,5845,49.7785726452053
61,F3F_S1R,F3F_S1R.1,5968,47.7401807855372
62,F3F_S1R,F3F_S1R.1,3864,50.2536090518923
63,F3F_S1R,F3F_S1R.1,2446,48.5992449831115
66,F3F_S1R,F3F_S1R.1,0,0
67,F3F_S1R,F3F_S1R.1,0,0
68,F3F_S1R,F3F_S1R.1,2567,50.4124116260801
69,F3F_S1R,F3F_S1R.1,0,0
7,F3F_S1R,F3F_S1R.1,0,0
70,F3F_S1R,F3F_S1R.1,0,0
71,F3F_S1R,F3F_S1R.1,0,0
72,F3F_S1R,F3F_S1R.1,3615,100
73,F3F_S1R,F3F_S1R.1,399,5.66600397614314
74,F3F_S1R,F3F_S1R.1,5001,47.3265827576417
75,F3F_S1R,F3F_S1R.1,20377,100
76,F3F_S1R,F3F_S1R.1,286,3.39425587467363
77,F3F_S1R,F3F_S1R.1,2756,100
78,F3F_S1R,F3F_S1R.1,5296,48.2243671462393
79,F3F_S1R,F3F_S1R.1,6100,49.0117306765226
8,F3F_S1R,F3F_S1R.1,5809,50.7291939568597
80,F3F_S1R,F3F_S1R.1,6871,50.3369963369963
81,F3F_S1R,F3F_S1R.1,6896,100
82,F3F_S1R,F3F_S1R.1,15708,100
84,F3F_S1R,F3F_S1R.1,2742,50.2842472033743
85,F3F_S1R,F3F_S1R.1,7637,67.5482044931895
87,F3F_S1R,F3F_S1R.1,0,0
90,F3F_S1R,F3F_S1R.1,4777,47.6651366992616
91,F3F_S1R,F3F_S1R.1,5739,65.7388316151203
92,F3F_S1R,F3F_S1R.1,3597,100
93,F3F_S1R,F3F_S1R.1,4231,48.2220196033736
95,F3F_S1R,F3F_S1R.1,4413,49.8249971773738
10,F3F_S1R,F3F_S1R.3,3621,47.426326129666
12,F3F_S1R,F3F_S1R.3,4851,50.0103092783505
13,F3F_S1R,F3F_S1R.3,5112,47.8203928905519
15,F3F_S1R,F3F_S1R.3,6890,49.5077962204498
16,F3F_S1R,F3F_S1R.3,0,0
17,F3F_S1R,F3F_S1R.3,0,0
18,F3F_S1R,F3F_S1R.3,0,0
19,F3F_S1R,F3F_S1R.3,0,0
2,F3F_S1R,F3F_S1R.3,0,0
20,F3F_S1R,F3F_S1R.3,5057,50.9624105613222
21,F3F_S1R,F3F_S1R.3,1850,50.5602623667669
23,F3F_S1R,F3F_S1R.3,0,0
24,F3F_S1R,F3F_S1R.3,0,0
25,F3F_S1R,F3F_S1R.3,1052,47.9708162334701
26,F3F_S1R,F3F_S1R.3,0,0
27,F3F_S1R,F3F_S1R.3,0,0
28,F3F_S1R,F3F_S1R.3,7233,49.1639477977162
29,F3F_S1R,F3F_S1R.3,2528,49.4232649071359
30,F3F_S1R,F3F_S1R.3,2751,48.7593052109181
31,F3F_S1R,F3F_S1R.3,10472,48.001466813348
32,F3F_S1R,F3F_S1R.3,4078,93.8766114180479
34,F3F_S1R,F3F_S1R.3,6698,50.5623914848645
36,F3F_S1R,F3F_S1R.3,2066,49.0154211150653
37,F3F_S1R,F3F_S1R.3,0,0
38,F3F_S1R,F3F_S1R.3,0,0
39,F3F_S1R,F3F_S1R.3,2612,50.9062560904307
4,F3F_S1R,F3F_S1R.3,9352,49.3248945147679
40,F3F_S1R,F3F_S1R.3,1326,48.3236151603499
42,F3F_S1R,F3F_S1R.3,0,0
44,F3F_S1R,F3F_S1R.3,3325,50.0451535219747
45,F3F_S1R,F3F_S1R.3,0,0
46,F3F_S1R,F3F_S1R.3,2761,48.3368347338936
47,F3F_S1R,F3F_S1R.3,3598,97.3221530971058
48,F3F_S1R,F3F_S1R.3,1621,48.0723606168446
49,F3F_S1R,F3F_S1R.3,0,0
5,F3F_S1R,F3F_S1R.3,3830,50.3682272488164
50,F3F_S1R,F3F_S1R.3,3539,96.5357337697763
51,F3F_S1R,F3F_S1R.3,0,0
52,F3F_S1R,F3F_S1R.3,5301,48.8256424426637
53,F3F_S1R,F3F_S1R.3,8178,49.6298094428936
54,F3F_S1R,F3F_S1R.3,0,0
55,F3F_S1R,F3F_S1R.3,2248,50.8252317431608
56,F3F_S1R,F3F_S1R.3,0,0
57,F3F_S1R,F3F_S1R.3,4343,48.6447132616488
58,F3F_S1R,F3F_S1R.3,2560,47.8325859491779
59,F3F_S1R,F3F_S1R.3,2178,50.1612160294795
6,F3F_S1R,F3F_S1R.3,0,0
60,F3F_S1R,F3F_S1R.3,5897,50.2214273547948
61,F3F_S1R,F3F_S1R.3,0,0
62,F3F_S1R,F3F_S1R.3,3825,49.7463909481077
63,F3F_S1R,F3F_S1R.3,0,0
66,F3F_S1R,F3F_S1R.3,0,0
67,F3F_S1R,F3F_S1R.3,0,0
68,F3F_S1R,F3F_S1R.3,2525,49.5875883739199
69,F3F_S1R,F3F_S1R.3,2296,45.5917394757744
7,F3F_S1R,F3F_S1R.3,5696,47.8776162057662
