subject,PCR,uniqueseq,count,freq
10,F3F_S1R,F3F_S1R.1,11,0.241016652059597
12,F3F_S1R,F3F_S1R.1,1239,25.0505458956733
13,F3F_S1R,F3F_S1R.1,8,0.147329650092081
15,F3F_S1R,F3F_S1R.1,4,0.0652954619653934
16,F3F_S1R,F3F_S1R.1,2708,53.2756246311234
17,F3F_S1R,F3F_S1R.1,394,25.2726106478512
18,F3F_S1R,F3F_S1R.1,5604,51.005734049331
19,F3F_S1R,F3F_S1R.1,1767,16.7965779467681
2,F3F_S1R,F3F_S1R.1,481,24.7427983539095
20,F3F_S1R,F3F_S1R.1,1,0.0208942749686586
21,F3F_S1R,F3F_S1R.1,492,25.585023400936
23,F3F_S1R,F3F_S1R.1,33,0.269850355711833
24,F3F_S1R,F3F_S1R.1,727,32.5716845878136
25,F3F_S1R,F3F_S1R.1,291,26.551094890511
26,F3F_S1R,F3F_S1R.1,1995,26.9594594594595
27,F3F_S1R,F3F_S1R.1,740,15.9003008165019
28,F3F_S1R,F3F_S1R.1,19,0.303417438518045
29,F3F_S1R,F3F_S1R.1,4,0.153315446531238
30,F3F_S1R,F3F_S1R.1,800,22.5733634311512
31,F3F_S1R,F3F_S1R.1,1951,17.0556866858991
32,F3F_S1R,F3F_S1R.1,8,0.280898876404494
34,F3F_S1R,F3F_S1R.1,1359,25.2508361204013
36,F3F_S1R,F3F_S1R.1,9,0.418021365536461
37,F3F_S1R,F3F_S1R.1,945,16.7020148462354
38,F3F_S1R,F3F_S1R.1,1,0.292397660818713
39,F3F_S1R,F3F_S1R.1,797,26.5489673550966
4,F3F_S1R,F3F_S1R.1,2143,25.1437287340138
40,F3F_S1R,F3F_S1R.1,213,15.6963890935888
42,F3F_S1R,F3F_S1R.1,614,25.8417508417509
44,F3F_S1R,F3F_S1R.1,685,25.2674289929915
45,F3F_S1R,F3F_S1R.1,1846,33.0765095860957
46,F3F_S1R,F3F_S1R.1,713,16.5659851301115
47,F3F_S1R,F3F_S1R.1,634,23.996971990916
48,F3F_S1R,F3F_S1R.1,6,0.293973542381186
49,F3F_S1R,F3F_S1R.1,6,24
5,F3F_S1R,F3F_S1R.1,3,0.0643776824034335
50,F3F_S1R,F3F_S1R.1,631,25.8288988948015
51,F3F_S1R,F3F_S1R.1,7,0.255474452554745
52,F3F_S1R,F3F_S1R.1,1215,25.5735634603241
53,F3F_S1R,F3F_S1R.1,2295,25.9586019681032
