"subject_id","MM2F_S3R.1","MM2F_S3R.10","MM2F_S3R.11","MM2F_S3R.13","MM2F_S3R.15","MM2F_S3R.17","MM2F_S3R.18","MM2F_S3R.2","MM2F_S3R.20","MM2F_S3R.27","MM2F_S3R.5","MM2F_S3R.7"
"Mf1_13",25.2313687286897,49.4398441305407,NA,NA,NA,NA,NA,22.6010716025329,NA,NA,NA,NA
"Mf1_14",24.3453173546383,NA,NA,NA,NA,NA,NA,24.2565468264536,NA,NA,49.2454505104305,NA
"Mf1_15",NA,48.0487129809023,NA,49.9031275947966,NA,NA,NA,NA,NA,NA,NA,NA
"Mf1_16",48.4414920797139,NA,NA,NA,NA,NA,NA,49.6678589678079,NA,NA,NA,NA
"Mf1_17",30.7929801754956,35.099122521937,NA,NA,NA,NA,NA,31.8492037699058,NA,NA,NA,NA
"Mf1_18",46.6175309291919,NA,NA,NA,NA,NA,NA,44.7486180573835,NA,NA,7.02816530665965,NA
"Mf1_19",14.6493365827241,33.7395071757379,NA,NA,NA,NA,NA,17.0322231248308,NA,32.0335770376388,NA,NA
"Mf1_20",24.3018018018018,48.6036036036036,NA,NA,NA,NA,NA,24.8423423423423,NA,NA,NA,NA
"Mf1_21",24.7901872175597,NA,NA,NA,NA,NA,NA,23.412954594362,NA,NA,49.4942973961696,NA
"Mf1_22",NA,NA,NA,NA,NA,25.4357650096837,23.3053582956746,NA,NA,NA,49.176888315042,NA
"Mf1_23",24.8474679682733,NA,NA,NA,NA,NA,NA,24.1153142159854,NA,NA,48.3831604636974,NA
"Mf1_24",56.0335781741868,NA,NA,NA,NA,NA,NA,40.6086044071354,NA,NA,NA,NA
"Mf1_25",49.4710947109471,NA,NA,NA,NA,NA,NA,48.6592865928659,NA,NA,NA,NA
"Mf1_26",NA,32.2441770614858,32.5091069654487,NA,NA,NA,NA,NA,NA,NA,32.8402693454024,NA
"Mf1_27",NA,48.1176979662484,NA,49.762007788836,NA,NA,NA,NA,NA,NA,NA,NA
"Mf1_28",NA,47.7259643062752,NA,NA,NA,NA,NA,NA,NA,NA,50.7196315486471,NA
"Mf1_29",24.6936574845603,NA,NA,NA,NA,NA,NA,23.7329673561416,NA,NA,NA,49.8284481913538
"Mf1_30",15.7137587606049,NA,NA,NA,33.308742161564,NA,NA,15.824419033567,NA,NA,NA,34.00959055699
"Mf1_31",45.9787556904401,NA,NA,NA,NA,NA,NA,42.3368740515933,NA,NA,8.80121396054628,NA
"Mf1_32",22.8866380989482,NA,50.1363459291001,NA,NA,NA,NA,24.1137514608492,NA,NA,NA,NA
"Mf1_33",32.3318092749837,NA,NA,NA,NA,NA,NA,31.5480078380144,NA,NA,NA,34.5308077509253
"Mf1_34",NA,NA,NA,NA,NA,44.439048081593,NA,NA,41.8164157357941,NA,11.8018455560952,NA
"Mf1_35",26.2222222222222,NA,NA,NA,NA,NA,NA,21.6888888888889,NA,NA,49.9555555555556,NA
"Mf1_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5048516772942,NA
"Mf1_37",NA,NA,NA,NA,NA,NA,16.5019011406844,NA,15.8174904942966,NA,32.7946768060837,33.0038022813688
"Mf1_38",NA,NA,46.8549422336329,NA,NA,NA,NA,NA,NA,NA,51.0590500641849,NA
"Mf1_39",24.615137908916,49.230275817832,NA,NA,NA,NA,NA,24.326491340603,NA,NA,NA,NA
"Mf1_40",23.6940298507463,50.6063432835821,NA,NA,NA,NA,NA,23.6940298507463,NA,NA,NA,NA
"Mf1_41",32.1152192605331,NA,NA,NA,NA,NA,NA,33.1040412725709,NA,NA,NA,32.8675838349097
"Mf1_42",27.1875,NA,NA,NA,NA,NA,NA,28.4375,NA,NA,NA,40.625
"Mf1_43",22.6141078838174,NA,NA,NA,NA,NA,NA,23.9367219917012,NA,NA,51.0114107883818,NA
"Mf1_44",24.4206773618538,NA,NA,NA,NA,NA,NA,22.4598930481283,NA,NA,3.11942959001783,48.6631016042781
