location,long,lat,total,A,AQ,Q,P,AP,QP,AQP,AX,AQX,APX,QPX
Thailand,100,15.5,532,340,80,1,3,30,9,0,38,22,7,2
Cambodia,105,13.3,113,111,2,0,0,0,0,0,0,0,0,0
Vietnam,109.4,14.7,124,66,24,2,1,6,2,0,11,10,2,0
Malaysia,106,5.1,677,105,475,0,1,20,21,15,12,25,3,0
Singapore,105.5,0.97,10,7,0,0,1,0,0,0,0,0,2,0
Sumatra,100,-0.8,222,35,185,0,0,2,0,0,0,0,0,0
Java,109.7,-9.5,370,187,183,0,0,0,0,0,0,0,0,0
Bali,115.1,-10.2,149,146,3,0,0,0,0,0,0,0,0,0
Sumbawa,118.1,-9.9,78,0,78,0,0,0,0,0,0,0,0,0
Indonesia,96.2,-3.9,75,22,50,0,0,2,0,1,0,0,0,0
Philippines,128.6,13.9,59,0,59,0,0,0,0,0,0,0,0,0
Mindinao,121.3,8.4,59,0,59,0,0,0,0,0,0,0,0,0
Lombok,116.3,-7.4,33,31,2,0,0,0,0,0,0,0,0,0
