ind,gene,unique
1,HBA1,1
2,HBA1,1
3,HBA1,1
4,HBA1,1
5,HBA1,1
6,HBA1,1
7,HBA1,1
8,HBA1,1
9,HBA1,1
10,HBA1,1
11,HBA1,1
12,HBA1,1
13,HBA1,2
14,HBA1,2
15,HBA1,2
16,HBA1,2
17,HBA1,2
18,HBA1,2
19,HBA1,2
20,HBA1,2
21,HBA1,2
22,HBA1,2
23,HBA1,2
24,HBA1,2
25,HBA1,2
26,HBA1,2
27,HBA1,2
28,HBA1,2
29,HBA1,2
30,HBA1,2
31,HBA1,2
32,HBA1,2
33,HBA1,2
34,HBA1,2
35,HBA1,2
36,HBA1,2
37,HBA1,2
38,HBA1,2
39,HBA1,2
40,HBA1,2
41,HBA1,2
42,HBA1,2
43,HBA1,2
44,HBA1,2
45,HBA1,2
46,HBA1,2
47,HBA1,2
48,HBA1,2
49,HBA1,2
50,HBA1,2
51,HBA1,2
52,HBA1,2
53,HBA1,2
54,HBA1,2
55,HBA1,2
56,HBA1,2
57,HBA1,2
58,HBA1,2
59,HBA1,2
60,HBA1,2
61,HBA1,2
62,HBA1,2
63,HBA1,2
64,HBA1,2
65,HBA1,2
66,HBA1,2
67,HBA1,2
68,HBA1,2
69,HBA1,2
70,HBA1,2
71,HBA1,2
72,HBA1,2
73,HBA1,2
74,HBA1,2
75,HBA1,2
76,HBA1,2
77,HBA1,2
1,HBA2,1
2,HBA2,1
3,HBA2,1
4,HBA2,2
5,HBA2,2
6,HBA2,2
7,HBA2,2
8,HBA2,2
9,HBA2,2
10,HBA2,2
11,HBA2,2
12,HBA2,2
13,HBA2,2
14,HBA2,2
15,HBA2,2
16,HBA2,2
17,HBA2,2
18,HBA2,2
19,HBA2,3
20,HBA2,3
21,HBA2,3
22,HBA2,3
23,HBA2,3
24,HBA2,3
25,HBA2,3
26,HBA2,3
27,HBA2,3
28,HBA2,3
29,HBA2,3
30,HBA2,3
31,HBA2,3
32,HBA2,3
33,HBA2,3
34,HBA2,3
35,HBA2,3
36,HBA2,3
37,HBA2,3
38,HBA2,3
39,HBA2,3
40,HBA2,3
41,HBA2,3
42,HBA2,3
43,HBA2,3
44,HBA2,3
45,HBA2,3
46,HBA2,3
47,HBA2,3
48,HBA2,3
49,HBA2,3
50,HBA2,3
51,HBA2,3
52,HBA2,3
53,HBA2,3
54,HBA2,3
55,HBA2,3
56,HBA2,3
57,HBA2,3
58,HBA2,3
59,HBA2,4
60,HBA2,4
61,HBA2,4
62,HBA2,4
63,HBA2,4
64,HBA2,4
65,HBA2,4
66,HBA2,4
67,HBA2,4
68,HBA2,4
69,HBA2,4
70,HBA2,4
71,HBA2,4
72,HBA2,4
73,HBA2,4
74,HBA2,4
75,HBA2,4
76,HBA2,4
77,HBA2,5
